Time,GeoType,GeoID,GeoRank,Geography,Percent
2010,UHF42,308,4,Greenwich Village - SoHo,9.7
2010,UHF42,309,4,Union Square - Lower East Side,24.1
2010,UHF42,310,4,Lower Manhattan,22.6
2010,UHF42,401,4,Long Island City - Astoria,17.0
2010,UHF42,402,4,West Queens,23.2
2010,UHF42,403,4,Flushing - Clearview,35.2
2010,UHF42,404,4,Bayside - Little Neck,52.0
2010,UHF42,405,4,Ridgewood - Forest Hills,43.9
2010,UHF42,406,4,Fresh Meadows,44.3
2010,UHF42,407,4,Southwest Queens,27.8
2010,UHF42,408,4,Jamaica,31.1
2010,UHF42,409,4,Southeast Queens,39.2
2010,UHF42,410,4,Rockaways,35.8
2010,UHF42,501,4,Port Richmond,35.8
2010,UHF42,502,4,Stapleton - St. George,48.5
2010,UHF42,503,4,Willowbrook,59.1
2010,UHF42,504,4,South Beach - Tottenville,55.2
2010,Borough,1,1,Bronx,36.8
2010,Borough,2,1,Brooklyn,26.2
2010,Borough,3,1,Manhattan,25.4
2010,Borough,4,1,Queens,34.2
2010,Borough,5,1,Staten Island,53.7
2010,Citywide,1,0,New York City,35.7
